ID,Tarea,Categoria,Bloque,Impacto,Esfuerzo,Prioridad,Dueno,Depende de,Criterio de aceptacion
MKT-01,Analitica de producto con embudo de conversion,Instrumentacion,Bloque 1,Alto,M,P0,GT,,Los 9 eventos del embudo landing->pago se ven en el dashboard sin consultar la BD
MKT-02,Captura y persistencia de UTMs y origen de registro,Instrumentacion,Bloque 1,Alto,M,P0,GT,MKT-01,Un registro con utm_source queda etiquetado en BD y agrupable en admin
MKT-03,Landing /c/[slug] y generador de QR trackeables,Adquisicion,Bloque 1,Alto,M,P0,GT,MKT-02,OPS genera un QR nuevo sin deploy y el escaneo es atribuible a la ubicacion
MKT-04,Widget de North Star Metric en el panel de admin,Instrumentacion,Bloque 1,Alto,S,P0,GT,,Tutorias agendadas por semana visibles en <5s con delta y sparkline
MKT-05,Correo de bienvenida / onboarding post-verificacion,Retencion,Bloque 1,Alto,S,P0,GT+OPS,,100% de cuentas verificadas recibe el correo y el CTA se ve en el embudo
MKT-06,Recordatorio automatico 24h antes de la sesion,Retencion,Bloque 1,Alto,M,P0,GT,,Una sesion de manana genera exactamente un correo a tutor y estudiante; cron idempotente
MKT-07,Sync de contactos con email marketing (Brevo),Instrumentacion,Bloque 1,Medio,M,P1,GT,MKT-08,OPS segmenta estudiantes sin sesiones en 15 dias sin pedir SQL
MKT-08,Consentimiento y opt-out de marketing,Legal,Bloque 1,Medio,S,P1,GT,,Usuario con marketingOptIn=false no recibe campanas; si transaccionales
MKT-09,Sistema de referidos (base de embajadores),Adquisicion,Bloque 2,Alto,L,P1,GT,MKT-11,El embajador ve su codigo y progreso 2/3; el credito se otorga automaticamente
MKT-10,Panel de embajadores en admin,Adquisicion,Bloque 2,Medio,M,P2,GT,MKT-09,OPS liquida premios del mes sin acceso a la BD
MKT-11,Credito/saldo aplicable al checkout,Pagos,Bloque 2,Alto,L,P1,GT,,El credito reduce el cobro; el tutor sigue recibiendo 85% del precio real
MKT-12,Captura de leads sin cuenta (avisame cuando haya tutor),Adquisicion,Bloque 2,Alto,M,P1,GT,,Un visitante anonimo deja su correo en <15s con double opt-in
